계,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원,비고,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
108,특정계층이용시설,회원이용시설,이문e편한세상아파트경로당,서울특별시 동대문구 한천로63길 10 (이문e편한세상아파트103동),서울특별시 동대문구 이문동 225,,,,127.064973,37.604523,205737.2488,556106.9095
109,특정계층이용시설,회원이용시설,이문쌍용아파트경로당,서울특별시 동대문구 한천로58길 47 (쌍용아파트유치원),서울특별시 동대문구 이문동 64,,,,127.068514,37.599784,206050.3101,555581.1549
110,특정계층이용시설,회원이용시설,이문현대아파트경로당,서울특별시 동대문구 한천로58길 107 (현대아파트102동),서울특별시 동대문구 이문동 54,,,,127.070192,37.601351,206198.3604,555755.1841
111,공공시설,복지?문화?체육시설,이문체육문화센터,서울특별시 동대문구 한천로58길 81-49 (이문동),서울특별시 동대문구 이문동 189,379.66,1070,,127.0687036,37.6022207,206066.8554,555851.614
112,특정계층이용시설,회원이용시설,(이문)현대아파트제2경로당,서울특별시 동대문구 한천로58길 135,서울특별시 동대문구 이문동 54-1,56.5,17,,127.070671,37.602289,206240.5805,555859.3234
113,공공시설,공공청사,이문2동주민센터,서울특별시 동대문구 신이문로 27-5,서울특별시 동대문구 이문동 237-1,92,27,,127.065099,37.603359,205748.4644,555977.726
114,특정계층이용시설,회원이용시설,쌍용아파트제2경로당,"서울특별시 동대문구 한천로58길 75-45 (이문동, 쌍용아파트)",서울특별시 동대문구 이문동 64-1,38.4,11,,127.0679569,37.6017202,206000.9584,555796.016
115,특정계층이용시설,회원이용시설,신이문경로당,서울특별시 동대문구 신이문로8길 32,서울특별시 동대문구 이문동 256-137,227.16,68,,127.063361,37.601511,205595.1315,555772.5133
116,특정계층이용시설,회원이용시설,이문e편한세상아파트제2경로당,서울특별시 동대문구 이문로54길 16,서울특별시 동대문구 이문동 225-1,67,22,,127.062957,37.604694,205559.2191,556125.7673
117,스마트쉼터,스마트쉼터,청량리역 환승센터 1번 승강장,서울 동대문구 왕산로 192-4,서울 동대문구 전농동 620-67,,,,127.0462,37.5805,202656.3,451267.8
118,스마트쉼터,스마트쉼터,동대문구청ㆍ용두역3번출구,서울시 동대문구 고산자로 402,서울 동대문구 용두동 29-6,,,,127.0331,37.5739,202278.9,450789.2
119,스마트쉼터,스마트쉼터,동대문중학교,서울 동대문구 서울시립대로2길 3,서울시 동대문구 전농동 691-3,,,,127.0501,37.5792,202812.5,451123.9
120,스마트쉼터,스마트쉼터,청량리역 환승센터 5번 승강장,서울시 동대문구 왕산로 205,서울 동대문구 전농동 620-69,,,,127.0465,37.5807,202670.1,451280.4
121,도서관,도서관,동대문구정보화도서관,서울특별시 동대문구 회기로10길 60,서울특별시 동대문구 휘경동 276-1,,,,127.0612,37.5943,203387.6,452180.5
122,도서관,도서관,동대문구답십리도서관,서울특별시 동대문구 서울시립대로4길 75,서울특별시 동대문구 전농동 691-5,,,,127.0503,37.5795,202823.1,451145.2
123,도서관,도서관,휘경어린이도서관,서울특별시 동대문구 망우로18가길 38,서울특별시 동대문구 장안동 415-1,,,,127.0714,37.5821,203792.4,451420.6
124,도서관,도서관,배봉산 숲속도서관,서울특별시 동대문구 전농로16길 97,서울특별시 동대문구 전농동 620-70,,,,127.0467,37.5809,202681.2,451295.1
125,도서관,도서관,동대문책마당도서관,서울특별시 동대문구 천호대로 145,서울특별시 동대문구 답십리동 980,,,,127.0452,37.5667,202612.3,449939.7
126,도서관,도서관,장안어린이도서관,서울특별시 동대문구 장한로26다길 10,서울특별시 동대문구 장안동 389-2,,,,127.0723,37.5783,203832.1,451071.4
127,도서관,도서관,제기동감초마을현진건기념도서관,서울특별시 동대문구 약령시로9길 45,서울특별시 동대문구 제기동 115-3,,,,127.0371,37.5829,202236.7,451487.3
128,도서관,도서관,휘경행복도서관,서울특별시 동대문구 장안벚꽃로 323,서울특별시 동대문구 장안동 374-1,,,,127.0719,37.5787,203812.5,451110.2
129,도서관,도서관,용두어린이영어도서관,서울특별시 동대문구 무학로 133,서울특별시 동대문구 용두동 39-1,,,,127.0309,37.5748,202015.6,450730.3
130,도서관,도서관,장안꿈마루어린이작은도서관,서울특별시 동대문구 한천로28길 5,서울특별시 동대문구 장안동 361-2,,,,127.0705,37.5775,203755.2,451000.7
